,map_name,started,weap_name,d_reason,d_category
0,Miramar,2020-08-28T09:59:53.0555305Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
1,Miramar,2020-08-28T09:59:53.0555305Z,WeapHK416_C,PelvisShot,Damage_Gun
2,Miramar,2020-08-28T09:59:53.0555305Z,WeapHK416_C,TorsoShot,Damage_Gun
3,Miramar,2020-08-28T09:59:53.0555305Z,WeapBerylM762_C,HeadShot,Damage_Gun
4,Miramar,2020-08-28T09:59:53.0555305Z,WeapSCAR-L_C,TorsoShot,Damage_Gun
5,Miramar,2020-08-28T09:59:53.0555305Z,WeapHK416_C,TorsoShot,Damage_Gun
6,Miramar,2020-08-28T09:59:53.0555305Z,WeapFNFal_C,PelvisShot,Damage_Gun
7,Miramar,2020-08-28T09:59:53.0555305Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
8,Miramar,2020-08-28T09:59:53.0555305Z,WeapFNFal_C,HeadShot,Damage_Gun
9,Miramar,2020-08-28T09:59:53.0555305Z,WeapFNFal_C,PelvisShot,Damage_Gun
10,Miramar,2020-08-28T09:59:53.0555305Z,WeapAK47_C,TorsoShot,Damage_Gun
11,Miramar,2020-08-28T09:59:53.0555305Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
12,Miramar,2020-08-28T09:59:53.0555305Z,PlayerFemale_A_C,None,Damage_Groggy
13,Miramar,2020-08-28T09:59:53.0555305Z,WeapFNFal_C,TorsoShot,Damage_Gun
14,Miramar,2020-08-28T09:59:53.0555305Z,BP_FireEffectController_C,NonSpecific,Damage_Molotov
15,Miramar,2020-08-28T09:59:53.0555305Z,BP_FireEffectController_C,NonSpecific,Damage_Molotov
16,Miramar,2020-08-28T09:59:53.0555305Z,WeapMini14_C,LegShot,Damage_Gun
17,Miramar,2020-08-28T09:59:53.0555305Z,WeapFNFal_C,HeadShot,Damage_Gun
18,Miramar,2020-08-28T09:59:53.0555305Z,WeapAK47_C,ArmShot,Damage_Gun
19,Miramar,2020-08-28T09:59:53.0555305Z,WeapFNFal_C,TorsoShot,Damage_Gun
20,Miramar,2020-08-28T09:59:53.0555305Z,WeapMini14_C,LegShot,Damage_Gun
21,Miramar,2020-08-28T09:59:53.0555305Z,WeapBerylM762_C,ArmShot,Damage_Gun
22,Miramar,2020-08-28T09:59:53.0555305Z,PlayerFemale_A_C,None,Damage_Groggy
23,Miramar,2020-08-28T09:59:53.0555305Z,BattleRoyaleModeController_Desert_C,NonSpecific,Damage_BlueZone
24,Miramar,2020-08-28T09:59:53.0555305Z,WeapBerylM762_C,HeadShot,Damage_Gun
25,Miramar,2020-08-28T09:59:53.0555305Z,WeapMini14_C,HeadShot,Damage_Gun
26,Miramar,2020-08-28T09:59:53.0555305Z,PlayerFemale_A_C,None,Damage_Groggy
27,Miramar,2020-08-28T09:59:53.0555305Z,PlayerFemale_A_C,None,Damage_Groggy
28,Miramar,2020-08-28T09:59:53.0555305Z,WeapSKS_C,TorsoShot,Damage_Gun
29,Miramar,2020-08-28T09:59:53.0555305Z,WeapFNFal_C,LegShot,Damage_Gun
30,Miramar,2020-08-28T09:59:53.0555305Z,WeapHK416_C,LegShot,Damage_Gun
31,Miramar,2020-08-28T09:59:53.0555305Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
32,Miramar,2020-08-28T09:59:53.0555305Z,PlayerFemale_A_C,None,Damage_Groggy
33,Miramar,2020-08-28T09:59:53.0555305Z,WeapHK416_C,TorsoShot,Damage_Gun
34,Miramar,2020-08-28T09:59:53.0555305Z,WeapMini14_C,LegShot,Damage_Gun
35,Miramar,2020-08-28T09:59:53.0555305Z,WeapFNFal_C,TorsoShot,Damage_Gun
36,Miramar,2020-08-28T09:59:53.0555305Z,WeapFNFal_C,HeadShot,Damage_Gun
37,Miramar,2020-08-28T09:59:53.0555305Z,PlayerFemale_A_C,None,Damage_Groggy
38,Miramar,2020-08-28T09:59:53.0555305Z,PlayerFemale_A_C,None,Damage_Groggy
39,Miramar,2020-08-28T09:59:53.0555305Z,WeapBerylM762_C,TorsoShot,Damage_Gun
40,Miramar,2020-08-28T09:59:53.0555305Z,WeapFNFal_C,LegShot,Damage_Gun
41,Miramar,2020-08-28T09:59:53.0555305Z,WeapBerylM762_C,HeadShot,Damage_Gun
42,Miramar,2020-08-28T09:59:53.0555305Z,WeapBerylM762_C,TorsoShot,Damage_Gun
43,Miramar,2020-08-28T09:59:53.0555305Z,WeapMini14_C,TorsoShot,Damage_Gun
44,Miramar,2020-08-28T09:59:53.0555305Z,WeapFNFal_C,TorsoShot,Damage_Gun
45,Miramar,2020-08-28T09:59:53.0555305Z,WeapSCAR-L_C,PelvisShot,Damage_Gun
46,Miramar,2020-08-28T09:59:53.0555305Z,WeapFNFal_C,HeadShot,Damage_Gun
47,Miramar,2020-08-28T09:59:53.0555305Z,WeapFNFal_C,PelvisShot,Damage_Gun
48,Miramar,2020-08-28T09:59:53.0555305Z,WeapFNFal_C,PelvisShot,Damage_Gun
49,Miramar,2020-08-28T09:59:53.0555305Z,PlayerFemale_A_C,None,Damage_Groggy
50,Miramar,2020-08-28T09:59:53.0555305Z,WeapBerylM762_C,TorsoShot,Damage_Gun
51,Miramar,2020-08-28T09:59:53.0555305Z,WeapHK416_C,PelvisShot,Damage_Gun
52,Miramar,2020-08-28T09:59:53.0555305Z,WeapFNFal_C,PelvisShot,Damage_Gun
