map_name,started,item_id,category,name,x,y,z
Sanhok,2019-11-09T03:36:00.9028223Z,Item_Weapon_Apple_C,Equipment,NV_pride,122303.234375,336088.90625,1193.0499267578125
Sanhok,2019-11-09T03:36:00.9028223Z,Item_Back_B_01_StartParachutePack_C,Equipment,AG_DUCKMANZ,387287.78125,420867.0,150088.0
Sanhok,2019-11-09T03:36:00.9028223Z,Item_Back_B_01_StartParachutePack_C,Equipment,AG_ThanawatTH,387287.78125,420867.0,150088.0
Sanhok,2019-11-09T03:36:00.9028223Z,Item_Back_B_01_StartParachutePack_C,Equipment,AG_DMG,387287.78125,420867.0,150088.0
Sanhok,2019-11-09T03:36:00.9028223Z,Item_Back_B_01_StartParachutePack_C,Equipment,AG_Sceat,387287.78125,420867.0,150088.0
Sanhok,2019-11-09T03:36:00.9028223Z,Item_Back_B_01_StartParachutePack_C,Equipment,FAZE_Aitzy,387287.78125,420867.0,150088.0
Sanhok,2019-11-09T03:36:00.9028223Z,Item_Back_B_01_StartParachutePack_C,Equipment,FAZE_Fuzzface,387287.78125,420867.0,150088.0
Sanhok,2019-11-09T03:36:00.9028223Z,Item_Back_B_01_StartParachutePack_C,Equipment,FAZE_ubah,387287.78125,420867.0,150088.0
Sanhok,2019-11-09T03:36:00.9028223Z,Item_Back_B_01_StartParachutePack_C,Equipment,FAZE_mxey,387287.78125,420867.0,150088.0
Sanhok,2019-11-09T03:36:00.9028223Z,Item_Back_B_01_StartParachutePack_C,Equipment,NAVI_ceh9,387287.78125,420867.0,150088.0
Sanhok,2019-11-09T03:36:00.9028223Z,Item_Back_B_01_StartParachutePack_C,Equipment,NAVI_ADOUZ1E,387287.78125,420867.0,150088.0
Sanhok,2019-11-09T03:36:00.9028223Z,Item_Back_B_01_StartParachutePack_C,Equipment,NAVI_POKAMOLODOY,387287.78125,420867.0,150088.0
Sanhok,2019-11-09T03:36:00.9028223Z,Item_Back_B_01_StartParachutePack_C,Equipment,NAVI_Bestoloch,387287.78125,420867.0,150088.0
Sanhok,2019-11-09T03:36:00.9028223Z,Item_Back_B_01_StartParachutePack_C,Equipment,GG_Miccoy,387287.78125,420867.0,150088.0
Sanhok,2019-11-09T03:36:00.9028223Z,Item_Back_B_01_StartParachutePack_C,Equipment,GG_DrasseL,387287.78125,420867.0,150088.0
